------------ Data File Created By ActiGraph wGT3X-BT ActiLife v6.13.4 Firmware v1.9.2 date format M/d/yyyy at 60 second epoch -----------
Serial Number: MOS2D0002
Start Time 09:00:00
Start Date 2/1/2025
Epoch Period (hh:mm:ss) 00:01:00
Download Time 10:15:00
Download Date 3/15/2025
Current Memory Address: 0
Current Battery Voltage: 4.12     Mode = 61
--------------------------------------------------
Subject Name,Date,Axis1,Steps,Wear Time (min),Calories
0002,02/01/2025,298611,6352,331,2319
0002,02/02/2025,298952,6585,467,1873
0002,02/03/2025,300407,6416,317,1920
0002,02/04/2025,300136,6423,301,2010
0002,02/05/2025,299693,6540,546,1871
0002,02/06/2025,299078,6636,360,2349
0002,02/07/2025,299656,6551,532,2214
0002,02/08/2025,299936,6562,567,2488
0002,02/09/2025,299920,6565,1130,2260
0002,02/10/2025,300022,6607,717,2326
0002,02/11/2025,299915,6454,1389,2340
0002,02/12/2025,300012,6387,708,1919
0002,02/13/2025,299837,6528,1178,2247
0002,02/14/2025,300627,6575,1101,2558
0002,02/15/2025,300597,6495,1354,2106
0002,02/16/2025,299903,6503,652,2171
0002,02/17/2025,300074,6457,1327,2180
0002,02/18/2025,300705,6559,851,1806
0002,02/19/2025,300273,6543,1075,1820
0002,02/20/2025,299956,6454,608,2235
0002,02/21/2025,299450,6452,1319,2156
0002,02/22/2025,299771,6436,840,2361
0002,02/23/2025,300094,6534,1334,1880
0002,02/24/2025,299844,6514,715,2404
0002,02/25/2025,299016,6524,1192,2307
0002,02/26/2025,300897,6481,1361,2081
0002,02/27/2025,299641,6462,1293,2251
0002,02/28/2025,299765,6474,1389,2342
0002,03/01/2025,301454,6424,795,1893
0002,03/02/2025,300618,6420,746,2355
0002,03/03/2025,300322,6516,896,1833
0002,03/04/2025,300084,6482,600,2477
0002,03/05/2025,300216,6557,974,1884
0002,03/06/2025,299385,6497,1333,2279
0002,03/07/2025,300711,6426,770,2389
0002,03/08/2025,299306,6446,798,2505
0002,03/09/2025,300165,6614,997,2125
0002,03/10/2025,300051,6476,663,2492
0002,03/11/2025,300471,6556,1318,1995
0002,03/12/2025,299209,6462,800,2383

